,input
1123,"As a Data Consuming User, I want to be able to download an image ofa particular view state, So that I can use it offline.
"
1124,"As a Publisher, I want to add useful metadata or add in new data columns to make the dataset more useful.	
"
1125,"As a stakeholder, I want to have references to the project proposal, so that I can look up further general information.
"
1126,"As a CONNECT adopter, I want the legacy universal client to be included in the Admin GUI and enhanced with the new look and feel so that it is easier to use and consistent with the CONNECT GUI look and feel	
"
1127,"As a Developer , I want to ensure that attempts to correct or delete non-existent records don't create new published data.
"
1128,"As a data manager, I want to know whether the DMP was approved, so that I can proceed with the required next steps.
"
1129,"As a Broker user, I want to Upload and Validate the error message to have accurate text.	
"
1130,"As an agency user, I want to be confident that the data coming from SAM is complete.	
"
1131,"As a Research Information manager, I want to track citation counts for published datasets, so that impact of datasets within academia can be demonstrated.
"
1132,"As a ResearcherGovernment Publisher, I want to add general country names to my dataset that only contains country codes, so that my dataset is more readable.	
"
1133,"As a pipeline designer, I want to get a meaningful error message when pipeline creation fails when I use an existing dataset as a sink or source, so that I know that the schema or any other property of the dataset is incompatible with what the pipeline requires. 
"
1134,"As a CONNECT product owner I need issues related to the HIEM service be fixed and CONNECT be compliant with the NwHIN specifications so that any CONNECT adopter can use the HIEM service if needed.	
"
1135,"As an archivist, I want to select existing rights statuses and statements, so that I can easily create uniform rights statements.
"
1136,"As an archivist, I want to upload scans of images created while answering research requests, so that they can be used again for other research requests.
"
1137,"As a researcher, I want to know how long it will take to archive, so that I can plan further steps.
"
1138,"As a member, I want to receive a reminder and a link, so that I can renew my membership.
"
1139,"As a CONNECT user, I want Release 4.4 to be regression tested so that the functionality is validated	
"
1140,"As a member, I want to have the system email me a new password or a password reminder since i have short-term memory problems.
"
1141,"As a CONNECT implementer, I want to instruct the gateway which spec version/endpoint to target for a service so that I have greater flexibility when exchanging with my trading partners.	
"
1142,"As an archivist, I want to access the digital files on the X-drive, so that I can use them.
"
1143,"As a Staff member, I want to Assign an Application for Detailed Review, so that I can review the for compliance and subsequently approved or denied.	
"
1144,"As a site admin, I want to move people in a trainer's class from a pending state to the registry once I have received proof of payment from the trainer.
"
1145,"As a member, I want to have the system email me a new password or a password reminder since i have short-term memory problems.	
"
1146,"As a Zooniverse admin, I want to know whether I should interrupt a volunteer with text, an image, or a video.	
"
1147,"As an OlderPerson, I want to insert my meetings into ALFRED using speech. 
"
1148,"As a user, I want to view all locations of recycling centers on a map, so that I can check which routes to take to drop off waste.
"
1149,"As a CONNECT developer, I want to implement static code analyzers in CONNECT via maven and jenkins, to understand the quality of code.	
"
1150,"As a data manager, I want to know whether the collected data depends on other data sets from my own or other institutions, so that I can ensure that these dependencies are maintained.
"
1151,"As an owner, I only want zero-padded fields, so that I can justify padding.	
"
1152,"As a ResearcherPublisher, I want an integration with Zenodo, so that when I store my dataset in GitHub, I don t have to retype descriptive information about my dataset.	
"
1153,"As a tester, I want to have access to test features in environments other than Staging, so that I can test any nonProd feature in any environment.	
"
1154,"As a Developer , I want the historical FPDS data loader to include both extracted historical data and FPDS feed data.
"
1155,"As a researcher, I want to create a log book page for an experiment and attach a file to this page.
"
1156,"As a Consumer, I want to download a Data package at a particular version, so that that I know it is compatible with my scripts and system.
"
1157,"As an asset manager, I want to be assured that funding and staffing of the IR have a commitment to longevity of the repository through published plans and/or explicit contract clauses.
"
1158,"As an app developer, I want to only depend on the interface of a dataset type in my app and have the system inject the implementation at runtime.
"
1159,"As a Developer, you can benefit from HDF5 integration to seamlessly integrate data-packaged data with pipelines that utilize HDF5. This integration facilitates interoperability between Data Packages and HDF5-based workflows, enabling efficient data processing and analysis across different platforms and systems."
1160,"As an OlderPerson, I want to see my vital parameters myself on the phone. 
"
1161,"As a Platform Administrator, I want to have a view on all datasets published by all users, So that I can perform management actions on any dataset.	
"
1162,"As a researcher, I want to have a timeline display of multiple data files and their associated images, so that I can compare the data taken from experiments on particular dates.
"
1163,"As a CONNECT developer I want to implement some Direct configuration web services.	
"
1164,"As an OlderPerson, I want to play online games together with other users. 
"
1165,"As a CONNECT adopter, I want to run CONNECT 3.3 on GlassFish 3.1.2 (with and without FIPS enabled)	
"
1166,"As a Data Consuming User, I want to be able to change the display of all monetary measures across a set of currencies, So that I can understand localised amounts in non-localised figures.
"
1167,"As a CONNECT developer, I need to update the CONNECT codebase to use Java 6, to support Federal Partners.	
"
1168,"As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item.
"
1169,"As an archivist, I want to make as much archival material as possible available for use, so that I can fulfill the RAC's mission.
"
1170,"As a camp administrator, I want to store camper's immediate parent/guardian's information, so that I can easily call to notify them in case a grossly unacceptable behavior.
"
1171,"As an archivist, I want to set a date on which restrictions will be removed from a file, so that that I don't have to update this by hand.
"
1172,"As a camp administrator, I want to keep track of the usage of internal camp facilities, so that I don't create conflicting schedules for the different camp groups.
"
1173,"As a collection curator, I want to set a date after which data will expire and be deleted or hidden then deleted.
"
1174,"As a user, I want to search specifically for files rather than log book pages.
"
1175,"As a Planning Staff member, I want to Conduct and Track Plan Amendments and Planning Studies, so that I can record work in process, outcome, and location-based information related to the Plan(s).
"
1176,"As a user, I want to view and update an inventory of of the equipment and consumables that are present in the centre.
"
1177,"As a Researcher, I want to get a Data Package into Excel in seconds, so that I can start using the data for doing analysis and visualizations.	
"
1178,"As a Researcher, I want to be able to translate my EML dataset to a Data Package, so that I can benefit from the wide array of tools available for Data Packages.	
"
1179,"As a FABS user, I want to have read-only access to DABS, so that I can view DABS pages without wanting two sets of permissions.	
"
1180,"As a CONNECT Custodial Agent we need to prepare CONNECT for other essential risks in health care like integrity and availability faults. CONNECT needs automated controls to detect, report, alarm, diagnose and correct integrity and availability issues.	
"
1181,"As a data curator, I want to upload a new version of an item that has changed, while still allowing old versions to be accessed.
"
1182,"As a Researcher, I want a tool that can generate basic statistics about a dataset, so that I can get a quick preview of the data. 
"
1183,"As a DPC, I want events to be created when a publication is published and unpublished, who did it, comment, so that I can record when and why something was made unavailable.  
"
1184,"As a user, I want to be able to give my email ID, so that I can receive notifications for new events as they are posted.	
"
1185,"As a superuser, I want to view users' stats, so that I can view in real-time how many users have visited my recycling center information and their recyclable waste.	
"
1186,"As a DB/IR administrator, I want to have robust searching and tracking features for existing and newly created patron accounts.
"
1187,"As an Enforcement Staff member, I want to Issue a Notice of Violation, so that I can provide formal communication to the responsible party.	
"
1188,"As a trainer, I want to delete one of my courses or events, so that it's no longer listed if I cancel for some reason.	
"
1189,"As a summit coordinator, I want to list sponsors for my summit, so that I can make sure sponsors feel rewarded and will be interested in sponsoring in future years.
"
1190,"As a CONNECT user, I want CONNECT to support X509 certificates to identify the subject so that I could use X509 certs instead of RSAKeyValue in my implementation	
"
1191,"As a CONNECT user I want to be able to send SMTP messages using Direct protocols so that I could send health information to recipients that can accept Direct messages.	
"
1192,"As a data manager, I want to know the security requirements of the data, so that I can check whether the data can be kept secure.
"
1193,"As a researcher, I want to upload files prior to having them attached to a log book page using a mapped network drive.
"
1194,"As a anonymoususer, I want to find session information, so that I can go to a session.
"
1195,"As a trainer, I want to create an Other Course or Event I am charged a listing fee for that activity, so that I don't list events I don't really intend to hold.
"
1196,"As a repository manager, I need details on the type of data, so that I can check if the archiving can be arranged.
"
1197,"As a ResearcherPublisher, I want to understand the ways in which my data is invalid, so that I can know how to fix it. 
"
1198,"As a Web Developer, I want to be able to install multiple versions of the same datapackage separately, so that that all my projects could be developed independently and deployed locally.
"
1199,"As a Data Publishing User, I want to be able to edit a dataset I have published, So that I can correct or enhance existing data.	
"
1200,"As a Bath Data Archive administrator, I want to require a minimum set of metadata, so that consistent quality of metadata is maintained.
"
1201,"As an OlderPerson, I want to have training for specific muscle Groups. 
"
1202,"As an employee, I want to get quick notifications, so that I can process cases the first time.
"
1203,"As an admin, I want to be able to have a dashboard that shows usage stats and locations, so that I can identify the neighbourhoods with the largest number of drop-offs and to try getting more facilities involved.
"
1204,"As an UnivITservice, I want to integrate the archive with existing university systems such as LDAP, so that the cost of administering the system can be kept low.
"
1205,"As a researcher,  I want to have the ability to attach standard meta data for drug responses, so that my data can later be searched for and understood.
"
1206,"As a Cornell faculty member, I want to be notified if someone downloads any of my items or files, so that I can follow usage and see what others are most interested in reading.
"
1207,"As a site editor, I want to be able to indicate whether an article is publicly available or for members only, so that visitors are incentivized to become members.	
"
1208,"As a depositor, I want to link datasets with the project DMP, so that compliance with DMP can be demonstrated and whole project workflow is linked together.
"
1209,"As a Bath Data Archive administrator, I want to encourage and promote the use of open standards for deposit, so that data is as reusable as possible.
"
1210,"As a camp administrator, I want to be able to see medical forms, so that we can be prepared for an allergy attack
"
1211,"As an API user, I want to be able to change the colors of the embedded visualisations in my own platform, So that I can customize the visualisations.	
"
1212,"As a Plan Review Staff Member, I want to Review the Code Modifications submitted by the Applicant, so that I can review the request and if approved, associate it with the appropriate project.	
"
1213,"As a DAMS manager, I want to know when permitted and restricted acts and/or their active dates are modified. 
"
1214,"As an archivist, I want to restrict access to some files by IP address, so that I can give reading room access only to certain digital files.
"
1215,"As a user, I want to be able to use Unicode, so that I can use any language I like.
"
1216,"As an archivist, I want to upload inventories, so that our donor representatives have an easier time requesting their material.
"
1217,"As a researcher, I want to share post-experiment write-ups with other researchers, so that others can more easily replicate my work.
"
1218,"As an IT staff member, I want to know which formats are used, so that I can determine what kind of technical services and functionalities are required.
"
1219,"As a FABS user, I want to have read-only access to DABS, so that I can view DABS pages without wanting two sets of permissions.
"
1220,"As a CONNECT adopter, I want to improve CONNECT's audit logging across all SOAP based services so that gateway is ATNA compliant, auditing framework is consistent across all services and audit information is available for reporting purposes	
"
1221,"As a company, I want to have a website that is easy to use, so that I can upload or delete stuff step by step.	
"
1222,"As a moderator, I want to select an item to be estimated or re-estimated, so that the team sees that item and can estimate it.
"
1223,"As a site admin, I want to be emailed whenever a job is submitted, so that I am aware of it and can decide if I want to post it.
"
1224,"As a collection curator, I want to have items be made available under the permissions they were configured once the embargo date has been reached.
"
1225,"As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.	
"
1226,"As a non-Duke researcher, I want to describe my team and mine's objects in the repository after they've been deposited if we've been assigned permission to edit metadata.
"
1227,"As an archivist, I want to have an online form for licensing archival material, so that the process is more transparent and some of the back and forth can be eliminated.
"
1228,"As an app developer, I want to write unit tests for an app that depends on the interface of a dataset type.
"
1229,"As a Developer, I want to get a Data Package into C++ in seconds, so that I can start using the data in doing analysis and visualizations. 
"
1230,"As an OlderPerson, I want to have ALFRED contact the nearest caregiver when I ask ALFRED for urgent help. 
"
1231,"As a bug, I need the ability for a call to a web service to issue a retry upon timeout for a specified number of retries which can be configurable	
"
1232,"As a CONNECT Adopter I need a type of redaction engine for document query and document retrieve. This would be a process of removing data from the response message.	
"
1233,"As a DAMS manager, I want to know when the pertinence of a statute to a object or object component is scheduled to expire. 
"
1234,"As a developer, I want to enable customers to provide feedback about my App and need an easy way to watch this feedback. 
"
1235,"As a Data Consuming User, I want to be able to download a CSV of the data that is used in any visualisation I am viewing, So that I can use the data in other tools.
"
1236,"As the DAMS manager, I want to be able to list for browsing all formal collections represented in the DAMS along with the appropriate relationships. 
"
1237,"As a CONNECT adopter, I want CONNECT to support NwHIN X12 Document submission service to support RACs with other alternative methods for documentation exchange for claims determination	
"
1238,"As a user, I want to download multiple files from the search results in one go.
"
1239,"As a repository manager, I want to elect to either replicate remotely or not and possibly to replicate beyond the primary remote site.
"
1240,"As an Agency user, I want historical FPDS data loaded.	
"
1241,"As a DeveloperWrangler, I want to use a command line tool that allows met to validate data, so that I can feel trust in the validity and usefulness of the data quickly and in the context of my command line workflow.	
"
1242,"As an data user, I want to receive updates to FABS records.	
"
1243,"As a Data user, I want to have the 12-19-2017 deletions processed.
"
1244,"As a researcher, I want to upload files prior to having them attached to a log book page.
"
1245,"As a moderator, I want to copy/paste stories from a spreadsheet, so that I can get started more quickly.
"
1246,"As a Publisher, I want to be able to get access to a previous version I tagged, so that that I can return to it and review it. 
"
1247,"As an admin, I want to prefilter content using search based on low­level asset information.	
"
1248,"As a user, I want the flexfields in my submission file to appear in the warning and error files when the only error is a missing required element.
"
1249,"As a FABS user, I want to have my validations run in a reasonable amount of time.
"
1250,"As a attendee, I want to see what summits I'm signed up for, so that I can confirm my attendence and prevent myself from accidentally double-booking with a training or another summit.
"
1251,"As a Publisher, I want to configure my client, so that I can start publishing data packages.
"
1252,"As a ResearcherPublisher, I want an integration with Zenodo, so that when I store my dataset in GitHub, I donâ€™t have to retype descriptive information about my dataset. 
"
1253,"As a researcher, I want to see the sections on roles submitted by other researchers in my department, so that I can see if we could share data manager posts.
"
1254,"As a Custodial Agent, I want to ensure CONNECT Plus adheres to the NwHIN Specifications. CONNECT Plus needs to implement the July 2011 version of the Patient Discovery specification.	
"
1255,"As a CONNECT developer, I want to create WSDLs for NwHIN, Adapter and Entity interfaces for CAQH Core X12 Document Submission Service specifications so that I may better understand the synchronous and batch(deferred) X12 transactions	
"
1256,"As an interop tester, I would like the running of the lab to be set up from one machine and set up through our Jenkins process.	
"
1257,"As a broker team member, I want to ensure the Broker resources, validations, and P&P pages are updated appropriately for the launch of FABS and DAIMS v1.1.
"
1258,"As a site visitor, I want to have articles that interest me and are easy to get to, so that I come to the site for my agile news and learning.
"
1259,"As a recyclingfacility representative, I want to have access to user stats and schedules, so that I can adjust my hours and/or upgrade equipment and capacity in order to be able to accomodate larger amounts of recyclable materials.
"
1260,"As a CONNECT user, I want a Findbugs report generated and published nightly, in order to know the condition of software.	
"
1261,"As an archivist, I want to create and edit a Collection Management subrecord.
"
1262,"As an NSF employee, I want to learn about how Github is used, so that I can participate in the issues as assigned.
"
1263,"As an API User, I want to be able to normalise measures by population, So that I work with datasets in reference to their contextual constraints.	
"
1264,"As a Zooniverse admin, I want to recommend different projects to volunteers based on their previous experiences.	
"
1265,"As a team member, I want to understand how time off overlaps with plans around the user research.
"
1266,"As a FABS user, I want to make sure the historical data includes all necessary columns, so that the information in the database is correct.
"
1267,"As a data manager, I want to know which kind of data types will be produced or collected, so that I can ensure that the necessary technical resources and technical know-how is available.
"
1268,"As a CONNECT Developer, I want to Increase Cobertura coverage for Patient Corelation and Doc repository packages by at least 20% in line, method, and branch statistics so that code quality is improved	
"
1269,"As an data user, I want to receive updates to FABS records.
"
1270,"As a CONNECT developer I want to create the managed bean and service integration to create a user	
"
1271,"As an externalcollaborator, I want to gain privileged access to data for projects in which I am involved, so that I can collaborate effectively.
"
1272,"As a DAMS manager, I want to know what objects or object components are still under copyright and cannot be displayed without either a license or incurring risk. 
"
1273,"As an Applicant, I want to Resubmit Plans, so that I can review revised plans. 
"
1274,"As a data user, I want to access two additional fields from the FPDS data pull.
"
1275,"As a serious games developer, I want to be able to take control over some functions to provide the desired user experience. 
"
1276,"As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.
"
1277,"As a patron, I want to know previous name(s) and publication date range (first version-last version) of reports/datasets, so that I can know what historical versions are available and how current more recent version is.
"
1278,"As a CONNECT tester, I would like to have a thorough set of regression tests for Patient Discovery, so that I can have proper test coverage	
"
1279,"As a Consumer, I want to be notified of changes to a package I care about, so that that I can check out what has changed and take action.
"
1280,"As a staff member, I want to denote an application with a Final Action status. So that I can finish it.
"
1281,"As a CONNECT adopter, I want to view a demo of Admin GUI framework so that I understand the capabilities that have been developed and can provide additional guidance and direction for further development	
"
1282,"As a repository manager, I want to see a display of recent errors deduplicated for easy comprehension like Symplectic Elements provides.
"
1283,"As a user, I want to link my email account to my profile, so that I can get a temporary password in case I forget my own one.
"
1284,"As an exchange participant, I want a new DS web service that does not attach documents so I can share document metadata without providing actual documents
"
1285,"As an API User, I want to be able to normalise measures by geographical area, So that I work with datasets in reference to their contextual constraints.
"
1286,"As a user, I want to associate together files involved in a experiment.
"
1287,"As a Platform administrator, I want to be able to translate the data types hierarchies of the Viewer while in embed mode, So that my users can understand the interface in their native language.	
"
1288,"As a camp administrator, I want to be able to add campers, so that I can keep track of each individual camper.
"
1289,"As a CONNECT adopter, I would like CONNECT SAML handling to conform completely to the NwHIN specifications	
"
1290,"As a Staff member, I want to Process the Appeals, so that I can track the outcome and record the impact on the relevant records.
"
1291,"As an archivist, I want to automatically assign unique identifiers to material I scan, so that I avoid potential errors.
"
1292,"As a UI designer, I want to move on to round 2 of the Help page edits, so that I can get approvals from leadership.	
"
1293,"As a Publisher, I would like an integration with Excel, so that I can output cleaned Data Packages.	
"
1294,"As an academicresearcher, I want to find the works of a particular author in one easily sortable spot, so that I can see the evolution of their scholarship over time.
"
1295,"As a system administrator, I want to run a script that tests to see if a Neurohub installation is functioning correctly.
"
1296,"As a Consumer, I want to search data packages, so that that I can find the ones I want.
"
1297,"As a DAMS manager, I want to know if copyrighted content has an applicable license. 
"
1298,"As a user, I want to be able to view the safe disposal events currently being organised around my area.	
"
1299,"As an adopter interested in interoperabilty and health data exchange, I want to see a CONNECT demo so that I understand how CONNECT is used to exchange health data and how it interacts with other supporting MPI and repository systems	
"
1300,"As a camp administrator, I want to be able to create, modify rules that campers and camp workers has to follow.
"
1301,"As an owner, I want to remove someone from membership in my publisher, so that they no longer have ability to publish or modify my data packages.
"
1302,"As a Carequality implementer, I want CONNECT to leverage the Carequality framework so I can exchange with other Carequality participants	
"
1303,"As a publisher, I want to embed a preview button on my site, so that users can preview the data and be encouraged that this is the correct data for them.
"
1304,"As an OlderPerson, I want to have ALFRED to remind me to keep a good body posture. 
"
1305,"As a Plan Review Staff Supervisor, I want to Manage Plan Reviewer Workload, so that I can monitor and effectively adjust workload as necessary and ensure service levels are met
"
1306,"As a CONNECT Contributor, I need the Source Code to be well organized and easily understood in order to build upon the CONNECT framework to better serve Healthcare Interoperability and the Government's investment	
"
1307,"As a Staff member, I want to Prepare for and Support Hearing Execution, so that I can ensure all pre-hearing requirements are satisfied and staff and Applicant are ready for the hearing.	
"
1308,"As a developer, I want to have the API components to be on a high level so that I donâ€™t have to deal with their details. 
"
1309,"As a Custodial Agent we need to reduce the amount of up-front policy and planning for security requirements and what is assigned to the implementers, this should be largely predetermined for all implementers and simplified.	
"
1310,"As a site admin, I want to edit and delete help wanted ads, so that I can correct small problems or make sure each ad complies with site guidelines.
"
1311,"As a site editor, I want to update any course or event, so that I can fix things the original author hasn't.
"
1312,"As a l Staff member, I want to search for Property information, so that I can obtain all associated current and historic owners, permits, and applications.	
"
1313,"As a CONNECT adopter, I want a Release test plan for 4.3 so that the community understands how 4.3 has been tested prior to making it available	
"
1314,"As a faculty data steward, I want to see the sections on responsibilities, so that I can ensure sufficient expertise on data management to support the project.
"
1315,"As a MedicalCaregiver, I want to have ALFRED to propose me games that require the combination of mental and physical exercise, such as opposing motion exercises of the arms and legs. 
"
1316,"As a repository manager, I want to indicate other descriptions of the collection that are outside the DAMS and of probable importance to users. 
"
1317,"As a UI designer, I want to move on to round 2 of DABS or FABS landing page edits, so that I can get approvals from leadership.
"
1318,"As a UI designer, I want to begin user testing, so that I can validate stakeholder UI improvement requests.	
"
1319,"As a Practitioner, I want to include additional details about me in my profile page, so that I can showcase my experience.	
"
1320,"As a Cornell faculty member, I want to share on the repository files that are larger than 1GB in a way that still allows users to download them if I want to use them, so that I can meet funder requirements.
"
1321,"As a library staff member, I want to upload an item to the repository that will only become visible after a specific embargo period has expired, so that I can comply with author or publisher requirements.
"
1322,"As a Developer, I want to get a Data Package into C++ in seconds, so that I can start using the data in doing analysis and visualizations."
1323,"As a researcher, I want to discover items in the repository through the library's discovery system and Google, so that I can facilitate my easy use of the content.
"
1324,"As a library staff member, I want to create metadata for items within the repository that includes document title, description, author, document type, status, file locations, subscribable flag, subject area, release frequency, and keywords for searching.
"
1325,"As a Developer, I want to list all DataPackages requirements for my project in the file and pin the exact versions of any DataPackage that my project depends on, so that that the project can be deterministically deployed locally and won't break because of the DataPackage schema changes. 
"
1326,"As a CONNECT adopter, I want easy to use adapters so that integrating my EHR system with CONNECT is simplified and helps speed up the time taken to bring my system up integrating with the eHealth Exchange via CONNECT.	
"
1327,"As an admin, I want to have all data encrypted, so that important information will not be stolen during a server breach or an attack.
"
1328,"As a CONNECT developer, I want to provide documentation on CONNECT scalability	
"
1329,"As an Applicant, I want to Pay Fee, so that I can satisfy outstanding charge associated with the service requested or received from the County.	
"
1330,"As a Bath Data Archive administrator, I want to import Bath data from an external data centre wholesale, so that Bath data holdings in external archives are not lost if they close down.
"
1331,"As a Researcher, I want to get a Data Package into STATA in seconds, so that I can start using the data for doing analysis and visualizations. 
"
1332,"As a user, I want to search and discover music based on other users similar to myself.	
"
1333,"As a federal partner, I want to be able to install CONNECT 3.3 and be able to communicate with another gateway with CONNECT 3.1 install in order to be able to exchange information with out everyone having to upgrade.	
"
1334,"As an admin, I want to view a dashboard that monitors all the sites' statuses, so that I can have a sense of what people are doing on our sites and know the service status.
"
1335,"As a Custodial Agent, I want to ensure CONNECT Plus adheres to the NwHIN Specifications. CONNECT Plus needs to implement the Jan 2010 version of the Document Retrieve specification.	
"
1336,"As an NSF person interested in attending user interviews, I want to know when they are scheduled and the type of user that will be interviewed.
"
1337,"As a site admin, I want to view all classes in a pending state, so that I can approve any that need to be approved.
"
1338,"As a UI designer, I want to move on to round 2 of Homepage edits, so that I can get approvals from leadership.
"
1339,"As a user, I want to list all the collections and objects in the DAMS that belong to a library unit. 
"
1340,"As a depositor, I want to link datasets to publications in Opus, so that both my data and publications are more easily discovered.
"
1341,"As an OlderPerson, I want to have an ALFRED device that can be easily adapted for user that have visual or hearing troubles.
"
1342,"As a user, I want to see the provenance of the page as part of the search results.
"
1343,"As a Researcher, I want an app that create proxy Data Packages for well know and reliable data, sources, so that I can load high quality data using Data Package tooling.	
"
1344,"As a team member, I want to see the first iteration of beta up on cloud.gov.
"
1345,"As a CONNECT adopter, I want CONNECT to be implemented using Java 1.6 so that I can use it in my preferred environment	
"
1346,"As an OlderPerson, I want to use ALFRED to maintain my contact list in my phone. 
"
1347,"As a Data Publishing User, I want to be able to import data from Fiscal Data Package descriptor file, So that I do not have to convert data formats in order to use the data packager.	
"
1348,"As an archivist, I want to mark individual files as restricted, so that they don't get shared by mistake.
"
1349,"As a Research Centre Director, I want to receive regular summary reports of research data, so that I understand trends in data use among staff and postgraduate students.
"
1350,"As a CONNECT user I need the CONNECT Gateway will support both secure and unsecure inbound ports for inbound traffic for increased implementation flexibility, such as using a security appliance in my installation.(CLONE of GW858)	
"
1351,"As a corporatesponsor, I want to display my logo on a corporate sponsors page, so that others see the company's support of Scrum.
"
1352,"As a repository manager, I want to indicate if the component has a copyright status different than that of of the object as a whole. 
"
1353,"As a Researcher, I want to get a Data Package into Excel in seconds, so that I can start using the data for doing analysis and visualizations. 
"
1354,"As an archivist, I want to upload a single file.
"
1355,"As a library staff member, I want to trace the list of revisors to determine who uploaded an item to the repository, so that I can confirm that proper procedures were followed.
"
1356,"As a site administrator, I want to read practicing and training applications and approve or reject them, so that only applicants who qualify can become CSPs or CSTs.
"
1357,"As a CONNECT user, I want a Fortify report generated and published nightly, in order to know the condition of software.	
"
1358,"As a site visitor, I want to access old news that is no longer on the home page, so that I can access things I remember from the past or that others mention to me.
"
1359,"As a parent, I want to be able to share any photos the camp has taken of my child.
"
1360,"As a CONNECT developer I want to automatically deploy the latest code to the """"latest"""" interop boxes nightly"
1361,"As an agency user, I want to get File F in the correct format.	
"
1362,"As an OlderPerson, I want to use ALFRED to organize a meeting with a group of friends at a certain place. 
"
1363,"As an administrator, I want to check that all data has the appropriate security level, so that I can demonstrate compliance.
"
1364,"As a CONNECT adopter, I want release notes and other documentation for 4.4 so that the community understands the features and artifacts for the release	
"
1365,"As a County Staff Member, I want to create a custom query/report outside of the common querying/reporting functionality, so that I can fulfill a request.	
"
1366,"As a Staff member, I want to Track the Draft Proffers, so that I can preserve the history of draft proffer statements submitted by the Applicant.	
"
1367,"As a repository manager, I want to indicate subjects that are related to an object. 
"
1368,"As an academicresearcher, I want to the thesis paper of an influential judge or legal thinker to gain insight into how their initial scholarship got started.
"
1369,"As an IT staff member, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.
"
1370,"As a camp administrator, I want to be able to schedule activities for campers, so that camp workers can easily keep track of who is where at all times.
"
1371,"As a Researcher, I want to be able to translate my EML dataset to a Data Package, so that I can benefit from the wide array of tools available for Data Packages. 
"
1372,"As a User, I want to be able to set my own username, So that my data is more easily discoverable.	
"
1373,"As a CONNECT developer, I would like to script WAS to automatically deploy and test via CI so that the validation tests are run at checkin and errors are caught earlier in the development process	
"
1374,"As a CONNECT product manager, I would like to release 4.4.1 to the community, to provide a release that addresses all known issues discovered during eHealth Exchange participant certification	
"
1375,"As a CONNECT user, I need bugs related to HIEM Notify transaction to be fixed and successfully validated to ensure/validate that HIEM service works in Rel 4.0.	
"
1376,"As an app developer, I want to explore a dataset instance of a type that was deployed as part of an app.
"
1377,"As a DAMS manager, I want to know when the event occurred. 
"
1378,"As an Owner, I want to edit my profile, so that that it is updated with new information.
"
1379,"As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly.
"
1380,"As a trainee, I want to must accept the cancellation terms with a checkbox, so that they can be accountable..
"
1381,"As a depositor, I want to attach subject specific discoverability metadata to records, so that researchers in my discipline can find my data more easily.
"
1382,"As a Developer , I want to determine the best way to load historical FPDS data, so that I can load all FPDS data since 2007."
1383,"As an agency user, I want the FABS validation rules to accept zero and blank for loan records.	
"
1384,"As a user, I want to walk around, access content using a geographical map and be informed if there are videos covering the area, monuments or any other relevant point of interest.	
"
1385,"As a student, I want to learn who at Cornell has or is engaged in research related to a particular topic, so that I can find an appropriate advisor, choose which courses to enroll in, and identify work/internship opportunities.
"
1386,"As a administrator, I want to assign sponsors to events, trainings and summits so that They will be featured on the sponsor detail page.
"
1387,"As a CONNECT Adopter I need the ability to have both secure and unsecure interfaces on the Adapter side to increase my flexibility with implementing Adapters and interfacing with down stream systems.	
"
1388,"As a Plan Review Staff Supervisor, I want to Manage Plan Reviewer Workload, so that I can monitor and effectively adjust workload as necessary and ensure service levels are met	
"
1389,"As a Developer, I want to get a Data Package into Clojure in seconds, so that I can start using the data in doing analysis and visualizations.	
"
1390,"As a trainer, I want to have a view that is attached to their training node that shows all attendee information Trainers can see all class attendance at first because there are so little trainers and they are trusted with privacy, so that the training coordinator doesn't have to do all the work to get login info for environment setup.
"
1391,"As a website user, I want to see updated financial assistance data daily.
"
1392,"As an OlderPerson, I want to have an introduction conversation with ALFRED, so that I can learn everything about him and he about me. 
"
1393,"As a DAMS manager, I want to indicate the source-capture information for a file where it is useful to do so. 
"
1394,"As a federal partner, I want to be able to install a future version of CONNECT without having to upgrade my adapters that are conformant to CONNECT 3.3 reference implementation in order reduce the effort to upgrade.	
"
1395,"As a CONNECT member, I want CONNECT 5.3 to be tested per the 5.3 release test plan so it can be released to the CONNECT community	
"
1396,"As a site editor, I want to set start publishing dates, old article date, and stop publishing dates for articles, so that articles appear only during appropriate periods.	
"
1397,"As an OlderPerson, I want to use ALFRED for navigation. 
"
1398,"As a site editor, I want to maintain a FAQ section, so that support gets fewer easily answered questions.	
"
1399,"As a dataset developer, I want to assign explicit versions to the code of a dataset type.
"
1400,"As a site member, I want to fill out an application to become a Certified Scrum Trainer, so that I can teach CSM and CSPO courses and certify others.	
"
1401,"As an OlderPerson, I want to receive a wake up call from ALFRED in the morning checking on me if I am ok.
"
1402,"As a repository manager, I want to describe various facets of a collection, object, or object component that are not addressable via title, date, name, and subject entities. 
"
1403,"As a CONNECT adopter, I want CONNECT to use Apache CXF 2.7.3, inorder to fix some security vulnerabilities found in 2.7.2.	
"
1404,"As a CONNECT Developer, I want to resolve all of the Forty findings with Critical or High priorities.	
"
